"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","2","0","0","0","2",
"1","5","0","0","0","5",
"2","5","0","2","0","7",
"3","6","0","4","0","10",
"4","6","0","1","0","7",
"5","5","1","0","0","6",
"6","3","1","0","0","4",
"7","4","0","2","0","6",
"8","3","0","0","0","3",
"9","5","1","0","0","6",
"10","2","1","1","0","4",
"11","4","0","0","0","4",
"12","4","0","0","0","4",
"13","3","1","1","0","5",
"14","2","0","0","0","2",
"15","7","0","0","0","7",
"16","4","0","0","0","4",
"17","1","0","0","0","1",
"18 to 20","9","3","2","0","14",
"21 to 24","18","1","0","0","19",
"25 & over","150","4","11","2","167",
"Total","248","13","24","2","287",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
