"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","White","Black","American Indian","Asian","Total",
"0","730","13","22","6","771",
"1","752","11","17","8","788",
"2","716","14","22","8","760",
"3","767","18","18","9","812",
"4","720","13","27","6","766",
"5","846","13","21","11","891",
"6","789","8","25","8","830",
"7","865","12","15","2","894",
"8","832","15","19","3","869",
"9","763","9","16","4","792",
"10","729","7","13","3","752",
"11","756","9","12","6","783",
"12","661","9","17","8","695",
"13","660","10","13","2","685",
"14","675","10","10","5","700",
"15","719","11","25","8","763",
"16","661","5","16","7","689",
"17","668","9","14","3","694",
"18 to 20","1512","25","36","6","1579",
"21 to 24","2565","49","93","18","2725",
"25 & over","30110","236","478","271","31095",
"Total","47496","506","929","402","49333",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
