"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","9","9",
"1","6","6",
"2","6","6",
"3","9","9",
"4","10","10",
"5","7","7",
"6","8","8",
"7","8","8",
"8","2","2",
"9","2","2",
"10","3","3",
"11","6","6",
"12","5","5",
"13","7","7",
"14","3","3",
"15","4","4",
"16","12","12",
"17","5","5",
"18 to 20","10","10",
"21 to 24","27","27",
"25 & over","265","265",
"Total","414","414",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
