"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","620","11","14","6","651",
"1","638","4","7","3","652",
"2","644","8","10","6","668",
"3","623","12","10","7","652",
"4","641","15","10","10","676",
"5","589","10","9","7","615",
"6","747","7","12","8","774",
"7","693","7","8","8","716",
"8","741","8","11","2","762",
"9","713","9","10","2","734",
"10","667","5","10","2","684",
"11","632","3","10","6","651",
"12","640","7","6","3","656",
"13","585","10","11","5","611",
"14","577","4","10","2","593",
"15","609","8","11","4","632",
"16","624","7","9","10","650",
"17","588","3","6","3","600",
"18 to 20","1298","29","21","10","1358",
"21 to 24","2151","32","48","15","2246",
"25 & over","28210","202","349","245","29006",
"Total","43230","401","592","364","44587",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
