"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2004"

"counts","White","Black","American Indian","Asian","Total",
"0","196","2","3","2","203",
"1","189","2","4","0","195",
"2","168","3","1","3","175",
"3","174","3","3","1","181",
"4","157","4","2","2","165",
"5","182","3","2","2","189",
"6","189","4","3","1","197",
"7","168","1","2","1","172",
"8","166","2","5","2","175",
"9","170","2","3","1","176",
"10","183","2","6","1","192",
"11","172","2","4","1","179",
"12","176","1","0","2","179",
"13","205","2","2","0","209",
"14","191","2","2","1","196",
"15","191","2","4","3","200",
"16","192","3","2","4","201",
"17","216","0","6","2","224",
"18 to 20","560","8","9","5","582",
"21 to 24","778","8","16","8","810",
"25 & over","10122","76","135","103","10436",
"Total","14745","132","214","145","15236",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
