"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","92","3","3","1","99",
"1","107","4","3","1","115",
"2","91","2","1","0","94",
"3","107","2","8","0","117",
"4","104","3","0","1","108",
"5","109","3","2","1","115",
"6","106","4","4","0","114",
"7","118","1","1","1","121",
"8","101","3","2","2","108",
"9","102","4","0","1","107",
"10","109","2","2","0","113",
"11","100","1","2","3","106",
"12","98","4","0","1","103",
"13","91","2","1","1","95",
"14","94","2","4","0","100",
"15","93","0","5","1","99",
"16","99","1","1","1","102",
"17","94","1","4","2","101",
"18 to 20","268","6","4","3","281",
"21 to 24","421","11","10","4","446",
"25 & over","5473","123","120","57","5773",
"Total","7977","182","177","81","8417",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
