"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","8","8",
"1","7","7",
"2","1","1",
"3","12","12",
"4","2","2",
"5","5","5",
"6","5","5",
"7","2","2",
"8","2","2",
"9","3","3",
"10","3","3",
"11","3","3",
"12","0","0",
"13","1","1",
"14","5","5",
"15","6","6",
"16","1","1",
"17","6","6",
"18 to 20","6","6",
"21 to 24","17","17",
"25 & over","203","203",
"Total","298","298",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
