"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","2","2",
"1","2","2",
"2","1","1",
"3","0","0",
"4","1","1",
"5","1","1",
"6","1","1",
"7","2","2",
"8","2","2",
"9","4","4",
"10","1","1",
"11","4","4",
"12","1","1",
"13","1","1",
"14","0","0",
"15","3","3",
"16","2","2",
"17","5","5",
"18 to 20","5","5",
"21 to 24","13","13",
"25 & over","121","121",
"Total","172","172",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
