"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","137","3","5","2","147",
"1","176","6","2","2","186",
"2","115","3","1","1","120",
"3","141","4","4","0","149",
"4","140","3","2","1","146",
"5","145","4","4","1","154",
"6","149","2","2","0","153",
"7","155","1","1","1","158",
"8","159","5","2","1","167",
"9","160","4","1","0","165",
"10","160","4","2","0","166",
"11","131","2","2","4","139",
"12","151","5","0","1","157",
"13","155","2","0","1","158",
"14","131","2","0","0","133",
"15","138","0","3","3","144",
"16","143","3","0","1","147",
"17","146","2","3","4","155",
"18 to 20","342","5","3","5","355",
"21 to 24","542","16","12","12","582",
"25 & over","8633","153","131","105","9022",
"Total","12149","229","180","145","12703",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
