"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2010"

"counts","White","Black","American Indian","Asian","Total",
"0","180","2","5","1","188",
"1","175","3","1","2","181",
"2","191","1","1","0","193",
"3","201","5","1","2","209",
"4","192","5","4","1","202",
"5","198","5","2","1","206",
"6","180","1","3","0","184",
"7","184","2","2","1","189",
"8","191","2","3","1","197",
"9","188","1","0","1","190",
"10","195","2","0","1","198",
"11","197","4","1","0","202",
"12","174","4","1","0","179",
"13","188","3","2","0","193",
"14","187","6","1","0","194",
"15","169","3","0","0","172",
"16","207","3","2","0","212",
"17","217","2","2","1","222",
"18 to 20","452","3","2","0","457",
"21 to 24","572","2","5","2","581",
"25 & over","9118","32","90","38","9278",
"Total","13556","91","128","52","13827",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
