"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","5","5",
"1","5","5",
"2","8","8",
"3","7","7",
"4","6","6",
"5","2","2",
"6","2","2",
"7","1","1",
"8","2","2",
"9","4","4",
"10","4","4",
"11","4","4",
"12","3","3",
"13","3","3",
"14","6","6",
"15","0","0",
"16","2","2",
"17","3","3",
"18 to 20","5","5",
"21 to 24","7","7",
"25 & over","119","119",
"Total","198","198",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
