"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1999"

"counts","White","Black","American Indian","Asian","Total",
"0","321","5","3","8","337",
"1","305","30","4","9","348",
"2","322","4","5","8","339",
"3","305","0","2","4","311",
"4","296","13","4","11","324",
"5","320","8","4","2","334",
"6","273","7","9","3","292",
"7","324","5","6","6","341",
"8","295","3","3","3","304",
"9","325","9","5","10","349",
"10","313","5","6","8","332",
"11","283","9","4","6","302",
"12","307","12","8","8","335",
"13","333","11","8","8","360",
"14","334","0","8","4","346",
"15","342","6","5","5","358",
"16","356","1","9","3","369",
"17","374","4","2","4","384",
"18 to 20","4041","66","45","38","4190",
"21 to 24","4681","78","45","83","4887",
"25 & over","16408","128","146","368","17050",
"Total","30858","404","331","599","32192",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
