"Easy Access to Juvenile Populations"
"Table:    Albany County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","199","8","4","9","220",
"1","191","7","3","10","211",
"2","191","6","2","4","203",
"3","156","6","4","7","173",
"4","204","7","1","11","223",
"5","156","9","4","5","174",
"6","172","4","2","1","179",
"7","177","6","4","4","191",
"8","170","8","3","4","185",
"9","206","7","3","4","220",
"10","165","3","2","6","176",
"11","165","2","4","2","173",
"12","164","3","2","5","174",
"13","144","2","1","5","152",
"14","130","1","5","6","142",
"15","181","3","6","3","193",
"16","146","4","4","1","155",
"17","133","14","6","8","161",
"18 to 20","1886","51","8","101","2046",
"21 to 24","3441","117","39","139","3736",
"25 & over","10186","256","156","387","10985",
"Total","18563","524","263","722","20072",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
