"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2007"

"counts","White","Black","American Indian","Asian","Total",
"0","107","1","0","0","108",
"1","76","0","0","0","76",
"2","77","2","0","1","80",
"3","82","1","1","1","85",
"4","53","0","1","1","55",
"5","78","2","0","0","80",
"6","72","1","2","0","75",
"7","90","2","0","0","92",
"8","79","1","1","0","81",
"9","65","1","2","0","68",
"10","68","1","0","0","69",
"11","100","1","2","0","103",
"12","75","0","0","0","75",
"13","91","0","1","0","92",
"14","102","0","0","0","102",
"15","97","0","3","0","100",
"16","114","1","0","0","115",
"17","101","0","1","0","102",
"18 to 20","218","1","1","0","220",
"21 to 24","255","0","3","0","258",
"25 & over","4535","7","34","5","4581",
"Total","6535","22","52","8","6617",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
