"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","47","1","1","0","49",
"1","55","1","0","0","56",
"2","49","0","0","0","49",
"3","44","0","0","0","44",
"4","44","1","0","1","46",
"5","51","1","0","0","52",
"6","62","0","0","0","62",
"7","43","0","0","0","43",
"8","56","2","1","0","59",
"9","64","0","1","1","66",
"10","50","1","1","0","52",
"11","48","1","1","0","50",
"12","40","1","1","0","42",
"13","47","1","1","0","49",
"14","45","1","2","1","49",
"15","53","1","0","0","54",
"16","54","0","1","0","55",
"17","44","0","2","0","46",
"18 to 20","96","2","0","0","98",
"21 to 24","140","3","2","0","145",
"25 & over","2567","28","16","10","2621",
"Total","3699","45","30","13","3787",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
