"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","2","2",
"1","2","2",
"2","0","0",
"3","1","1",
"4","2","2",
"5","2","2",
"6","0","0",
"7","0","0",
"8","2","2",
"9","0","0",
"10","2","2",
"11","1","1",
"12","1","1",
"13","1","1",
"14","2","2",
"15","1","1",
"16","1","1",
"17","0","0",
"18 to 20","3","3",
"21 to 24","5","5",
"25 & over","58","58",
"Total","86","86",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
