"Easy Access to Juvenile Populations"
"Table:    Crook County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","1","1",
"1","1","1",
"2","0","0",
"3","0","0",
"4","0","0",
"5","0","0",
"6","0","0",
"7","1","1",
"8","1","1",
"9","3","3",
"10","3","3",
"11","2","2",
"12","1","1",
"13","1","1",
"14","3","3",
"15","3","3",
"16","1","1",
"17","2","2",
"18 to 20","1","1",
"21 to 24","3","3",
"25 & over","44","44",
"Total","71","71",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
