"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1990"

"counts","White","Black","American Indian","Asian","Total",
"0","358","1","168","1","528",
"1","326","6","177","0","509",
"2","357","0","159","4","520",
"3","393","0","160","0","553",
"4","426","0","168","6","600",
"5","442","1","183","4","630",
"6","461","0","165","0","626",
"7","467","0","175","2","644",
"8","456","0","167","2","625",
"9","511","0","170","2","683",
"10","488","3","180","3","674",
"11","454","0","169","2","625",
"12","472","0","127","0","599",
"13","468","4","126","0","598",
"14","423","0","109","0","532",
"15","425","0","114","2","541",
"16","417","2","116","2","537",
"17","402","0","132","1","535",
"18 to 20","867","3","321","5","1196",
"21 to 24","963","4","415","7","1389",
"25 & over","17539","18","2815","49","20421",
"Total","27115","42","6316","92","33565",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
