"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","196","2","80","2","280",
"1","193","9","88","2","292",
"2","181","5","137","0","323",
"3","184","6","93","2","285",
"4","192","1","131","2","326",
"5","170","8","159","2","339",
"6","194","3","90","1","288",
"7","200","3","104","1","308",
"8","175","3","111","1","290",
"9","192","4","106","2","304",
"10","188","4","109","1","302",
"11","188","1","129","4","322",
"12","170","2","102","4","278",
"13","190","1","86","1","278",
"14","162","4","93","1","260",
"15","193","1","87","0","281",
"16","186","3","90","1","280",
"17","191","4","85","2","282",
"18 to 20","487","5","244","4","740",
"21 to 24","656","8","281","5","950",
"25 & over","10851","103","2152","62","13168",
"Total","15339","180","4557","100","20176",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
