"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","381","381",
"1","383","383",
"2","355","355",
"3","334","334",
"4","358","358",
"5","343","343",
"6","376","376",
"7","383","383",
"8","366","366",
"9","397","397",
"10","356","356",
"11","338","338",
"12","337","337",
"13","351","351",
"14","329","329",
"15","345","345",
"16","337","337",
"17","351","351",
"18 to 20","926","926",
"21 to 24","1214","1214",
"25 & over","21866","21866",
"Total","30426","30426",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
