"Easy Access to Juvenile Populations"
"Table:    Fremont County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","156","156",
"1","171","171",
"2","235","235",
"3","234","234",
"4","246","246",
"5","258","258",
"6","217","217",
"7","207","207",
"8","230","230",
"9","199","199",
"10","239","239",
"11","214","214",
"12","212","212",
"13","189","189",
"14","195","195",
"15","177","177",
"16","160","160",
"17","155","155",
"18 to 20","446","446",
"21 to 24","569","569",
"25 & over","4569","4569",
"Total","9278","9278",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
