"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","3","3",
"1","4","4",
"2","7","7",
"3","3","3",
"4","2","2",
"5","3","3",
"6","3","3",
"7","2","2",
"8","7","7",
"9","3","3",
"10","2","2",
"11","0","0",
"12","1","1",
"13","2","2",
"14","0","0",
"15","4","4",
"16","2","2",
"17","1","1",
"18 to 20","15","15",
"21 to 24","16","16",
"25 & over","108","108",
"Total","188","188",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
