"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","3","3",
"1","4","4",
"2","6","6",
"3","14","14",
"4","7","7",
"5","0","0",
"6","5","5",
"7","4","4",
"8","0","0",
"9","3","3",
"10","2","2",
"11","2","2",
"12","0","0",
"13","4","4",
"14","2","2",
"15","2","2",
"16","2","2",
"17","0","0",
"18 to 20","5","5",
"21 to 24","13","13",
"25 & over","96","96",
"Total","174","174",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
