"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","12","0","0","0","12",
"1","10","0","1","0","11",
"2","14","0","4","0","18",
"3","21","3","13","0","37",
"4","24","1","7","0","32",
"5","24","1","0","0","25",
"6","27","2","3","1","33",
"7","25","0","3","0","28",
"8","21","2","0","0","23",
"9","18","1","3","0","22",
"10","12","0","2","1","15",
"11","20","0","0","0","20",
"12","12","0","0","1","13",
"13","16","0","1","1","18",
"14","24","0","0","0","24",
"15","18","1","1","2","22",
"16","28","1","2","1","32",
"17","24","0","0","0","24",
"18 to 20","69","2","1","1","73",
"21 to 24","100","3","1","4","108",
"25 & over","753","13","33","5","804",
"Total","1272","30","75","17","1394",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
