"Easy Access to Juvenile Populations"
"Table:    Goshen County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"

"counts","White","Black","American Indian","Asian","Total",
"0","137","3","3","4","147",
"1","134","4","4","3","145",
"2","145","7","6","1","159",
"3","120","3","14","0","137",
"4","125","2","7","0","134",
"5","132","3","0","1","136",
"6","141","3","5","2","151",
"7","159","2","4","2","167",
"8","138","7","0","2","147",
"9","174","3","3","0","180",
"10","128","2","2","1","133",
"11","130","0","2","0","132",
"12","161","1","0","1","163",
"13","146","2","4","3","155",
"14","153","0","2","1","156",
"15","146","4","2","2","154",
"16","174","2","2","2","180",
"17","152","1","0","1","154",
"18 to 20","559","15","5","6","585",
"21 to 24","616","16","13","8","653",
"25 & over","9166","108","96","52","9422",
"Total","12936","188","174","92","13390",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
