"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","White","Black","American Indian","Asian","Total",
"0","43","2","1","0","46",
"1","46","4","4","0","54",
"2","44","1","2","0","47",
"3","52","1","0","0","53",
"4","47","1","0","0","48",
"5","48","1","1","1","51",
"6","49","1","0","0","50",
"7","55","0","0","0","55",
"8","67","2","2","0","71",
"9","54","1","1","0","56",
"10","55","0","0","0","55",
"11","55","0","2","0","57",
"12","65","0","0","1","66",
"13","54","1","1","0","56",
"14","49","0","1","1","51",
"15","52","1","0","0","53",
"16","58","0","1","0","59",
"17","49","0","0","1","50",
"18 to 20","117","2","3","3","125",
"21 to 24","154","2","6","2","164",
"25 & over","3385","24","48","21","3478",
"Total","4598","44","73","30","4745",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
