"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","47","47",
"1","39","39",
"2","48","48",
"3","46","46",
"4","54","54",
"5","46","46",
"6","49","49",
"7","48","48",
"8","49","49",
"9","66","66",
"10","51","51",
"11","62","62",
"12","52","52",
"13","58","58",
"14","53","53",
"15","49","49",
"16","53","53",
"17","61","61",
"18 to 20","110","110",
"21 to 24","141","141",
"25 & over","3341","3341",
"Total","4523","4523",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
