"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","0","0",
"1","1","1",
"2","4","4",
"3","0","0",
"4","0","0",
"5","0","0",
"6","1","1",
"7","1","1",
"8","0","0",
"9","3","3",
"10","0","0",
"11","0","0",
"12","0","0",
"13","0","0",
"14","1","1",
"15","0","0",
"16","1","1",
"17","0","0",
"18 to 20","2","2",
"21 to 24","3","3",
"25 & over","31","31",
"Total","48","48",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
