"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","0","0","0","0","0",
"1","0","0","0","0","0",
"2","2","0","0","0","2",
"3","3","0","0","0","3",
"4","4","0","0","0","4",
"5","2","0","0","0","2",
"6","2","0","1","1","4",
"7","2","0","0","0","2",
"8","4","0","0","0","4",
"9","4","0","0","0","4",
"10","5","0","0","0","5",
"11","6","0","0","0","6",
"12","3","0","0","0","3",
"13","2","0","0","0","2",
"14","0","1","0","0","1",
"15","3","0","0","0","3",
"16","2","0","0","0","2",
"17","2","0","0","0","2",
"18 to 20","6","0","1","0","7",
"21 to 24","7","1","1","0","9",
"25 & over","130","2","7","2","141",
"Total","189","4","10","3","206",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
