"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1992"

"counts","White","Black","American Indian","Asian","Total",
"0","69","0","1","0","70",
"1","81","0","0","0","81",
"2","74","0","0","0","74",
"3","72","0","0","0","72",
"4","76","0","0","0","76",
"5","81","0","1","0","82",
"6","84","0","3","0","87",
"7","90","0","0","0","90",
"8","89","0","4","0","93",
"9","105","0","1","0","106",
"10","111","0","1","0","112",
"11","111","0","0","0","111",
"12","101","0","0","0","101",
"13","95","0","2","0","97",
"14","99","0","4","0","103",
"15","97","0","3","1","101",
"16","111","0","0","0","111",
"17","97","0","0","0","97",
"18 to 20","202","0","0","0","202",
"21 to 24","188","0","0","0","188",
"25 & over","4214","0","12","0","4226",
"Total","6247","0","32","1","6280",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
