"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","41","0","1","1","43",
"1","37","0","0","0","37",
"2","54","3","1","0","58",
"3","54","0","0","0","54",
"4","46","2","3","1","52",
"5","54","2","2","0","58",
"6","41","1","6","3","51",
"7","68","1","2","0","71",
"8","56","1","2","1","60",
"9","69","0","1","1","71",
"10","68","2","4","0","74",
"11","51","0","1","0","52",
"12","55","0","0","0","55",
"13","49","3","1","0","53",
"14","53","1","1","1","56",
"15","51","0","0","0","51",
"16","45","2","1","0","48",
"17","50","0","1","0","51",
"18 to 20","112","3","0","2","117",
"21 to 24","158","1","0","3","162",
"25 & over","2951","20","25","13","3009",
"Total","4163","42","52","26","4283",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
