"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","38","0","0","1","39",
"1","34","1","1","0","36",
"2","40","0","2","2","44",
"3","32","0","3","1","36",
"4","41","3","1","2","47",
"5","52","3","6","2","63",
"6","47","1","4","1","53",
"7","39","2","3","3","47",
"8","44","2","3","3","52",
"9","46","1","2","0","49",
"10","50","0","1","0","51",
"11","68","2","1","1","72",
"12","51","0","2","0","53",
"13","36","0","1","0","37",
"14","49","1","1","0","51",
"15","43","1","1","0","45",
"16","50","0","2","0","52",
"17","42","1","1","0","44",
"18 to 20","97","0","4","0","101",
"21 to 24","124","2","6","1","133",
"25 & over","2972","55","32","39","3098",
"Total","3995","75","77","56","4203",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
