"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","79","79",
"1","71","71",
"2","94","94",
"3","86","86",
"4","87","87",
"5","106","106",
"6","88","88",
"7","107","107",
"8","100","100",
"9","115","115",
"10","118","118",
"11","119","119",
"12","106","106",
"13","85","85",
"14","102","102",
"15","94","94",
"16","95","95",
"17","92","92",
"18 to 20","209","209",
"21 to 24","282","282",
"25 & over","5923","5923",
"Total","8158","8158",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
