"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","2","2",
"1","0","0",
"2","2","2",
"3","1","1",
"4","3","3",
"5","2","2",
"6","4","4",
"7","3","3",
"8","4","4",
"9","1","1",
"10","0","0",
"11","1","1",
"12","0","0",
"13","0","0",
"14","1","1",
"15","0","0",
"16","0","0",
"17","0","0",
"18 to 20","2","2",
"21 to 24","4","4",
"25 & over","52","52",
"Total","82","82",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
