"Easy Access to Juvenile Populations"
"Table:    Johnson County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","77","0","1","2","80",
"1","65","1","1","0","67",
"2","90","2","1","2","95",
"3","82","0","2","1","85",
"4","83","5","3","3","94",
"5","98","2","2","2","104",
"6","83","2","4","1","90",
"7","104","1","2","3","110",
"8","95","3","5","4","107",
"9","109","1","2","0","112",
"10","110","1","2","0","113",
"11","114","2","1","1","118",
"12","95","0","1","0","96",
"13","75","2","1","0","78",
"14","95","1","2","1","99",
"15","84","1","1","0","86",
"16","89","2","3","0","94",
"17","85","1","2","0","88",
"18 to 20","198","2","2","2","204",
"21 to 24","263","2","2","4","271",
"25 & over","5736","73","49","49","5907",
"Total","7830","104","89","75","8098",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
