"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2003"

"counts","White","Black","American Indian","Asian","Total",
"0","1092","64","22","17","1195",
"1","1073","77","30","29","1209",
"2","1007","79","27","27","1140",
"3","988","72","9","25","1094",
"4","999","49","20","20","1088",
"5","1003","67","16","23","1109",
"6","1057","44","9","14","1124",
"7","977","37","18","16","1048",
"8","1018","54","10","14","1096",
"9","1120","46","15","10","1191",
"10","1182","46","17","27","1272",
"11","1106","60","23","9","1198",
"12","1153","32","18","13","1216",
"13","1173","32","14","14","1233",
"14","1132","59","19","15","1225",
"15","1083","36","18","22","1159",
"16","1147","26","16","13","1202",
"17","1174","33","18","17","1242",
"18 to 20","3344","256","52","58","3710",
"21 to 24","4483","288","85","94","4950",
"25 & over","51839","1245","600","699","54383",
"Total","79150","2702","1056","1176","84084",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
