"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","534","30","12","17","593",
"1","540","38","19","9","606",
"2","523","26","8","11","568",
"3","568","30","8","9","615",
"4","544","36","11","11","602",
"5","614","30","8","7","659",
"6","591","24","6","6","627",
"7","623","17","17","16","673",
"8","642","33","14","16","705",
"9","604","22","10","13","649",
"10","602","39","18","17","676",
"11","580","17","11","10","618",
"12","581","19","11","22","633",
"13","574","19","12","11","616",
"14","551","16","11","6","584",
"15","530","44","9","12","595",
"16","537","38","6","5","586",
"17","552","19","16","12","599",
"18 to 20","1402","87","27","21","1537",
"21 to 24","2308","117","54","61","2540",
"25 & over","31313","747","412","593","33065",
"Total","45313","1448","700","885","48346",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
