"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","866","56","12","23","957",
"1","868","58","11","20","957",
"2","863","58","10","21","952",
"3","962","52","9","15","1038",
"4","947","49","10","28","1034",
"5","967","54","13","15","1049",
"6","948","38","5","14","1005",
"7","1001","47","13","25","1086",
"8","1027","55","8","25","1115",
"9","958","42","7","18","1025",
"10","1010","46","16","18","1090",
"11","964","50","12","20","1046",
"12","987","27","14","31","1059",
"13","958","41","15","20","1034",
"14","907","28","7","15","957",
"15","887","67","11","13","978",
"16","931","50","8","12","1001",
"17","912","40","14","16","982",
"18 to 20","2511","194","31","41","2777",
"21 to 24","4137","372","58","113","4680",
"25 & over","54774","1698","468","1018","57958",
"Total","78385","3122","752","1521","83780",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
