"Easy Access to Juvenile Populations"
"Table:    Laramie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","230","6","13","9","258",
"1","249","23","14","5","291",
"2","224","14","14","4","256",
"3","252","13","13","6","284",
"4","223","12","16","7","258",
"5","209","14","13","1","237",
"6","229","17","15","1","262",
"7","245","9","17","3","274",
"8","255","17","18","5","295",
"9","268","8","9","5","290",
"10","235","13","22","9","279",
"11","214","6","11","6","237",
"12","216","7","14","1","238",
"13","234","16","8","1","259",
"14","206","8","12","4","230",
"15","204","10","11","11","236",
"16","208","10","8","2","228",
"17","190","9","16","2","217",
"18 to 20","626","28","26","15","695",
"21 to 24","1013","47","53","14","1127",
"25 & over","7293","183","325","104","7905",
"Total","13023","470","648","215","14356",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
