"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2004"

"counts","White","Black","American Indian","Asian","Total",
"0","208","0","2","1","211",
"1","215","0","1","2","218",
"2","220","1","4","1","226",
"3","188","0","1","2","191",
"4","233","1","3","1","238",
"5","220","1","3","1","225",
"6","230","0","2","0","232",
"7","223","0","1","0","224",
"8","219","2","2","0","223",
"9","215","2","1","0","218",
"10","271","2","3","0","276",
"11","268","3","6","0","277",
"12","250","3","1","2","256",
"13","282","1","2","0","285",
"14","244","1","1","1","247",
"15","288","2","2","1","293",
"16","287","1","1","3","292",
"17","300","2","2","0","304",
"18 to 20","557","2","4","3","566",
"21 to 24","634","2","5","0","641",
"25 & over","9780","12","67","37","9896",
"Total","15332","38","114","55","15539",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
