"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","116","1","3","1","121",
"1","111","0","2","0","113",
"2","145","1","1","1","148",
"3","158","1","2","1","162",
"4","143","0","0","3","146",
"5","141","0","3","0","144",
"6","144","1","2","1","148",
"7","158","2","1","1","162",
"8","154","1","2","1","158",
"9","159","2","1","0","162",
"10","158","1","1","1","161",
"11","149","0","3","1","153",
"12","153","2","4","1","160",
"13","148","1","2","0","151",
"14","152","2","2","0","156",
"15","138","1","2","0","141",
"16","154","2","2","0","158",
"17","149","3","0","0","152",
"18 to 20","325","1","6","0","332",
"21 to 24","345","2","5","2","354",
"25 & over","6240","54","52","22","6368",
"Total","9540","78","96","36","9750",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
