"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","2","2",
"1","1","1",
"2","3","3",
"3","3","3",
"4","1","1",
"5","0","0",
"6","2","2",
"7","2","2",
"8","1","1",
"9","4","4",
"10","2","2",
"11","2","2",
"12","3","3",
"13","2","2",
"14","5","5",
"15","3","3",
"16","4","4",
"17","4","4",
"18 to 20","2","2",
"21 to 24","10","10",
"25 & over","93","93",
"Total","149","149",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
