"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","2","2",
"1","3","3",
"2","4","4",
"3","2","2",
"4","4","4",
"5","1","1",
"6","2","2",
"7","2","2",
"8","3","3",
"9","1","1",
"10","1","1",
"11","3","3",
"12","1","1",
"13","0","0",
"14","0","0",
"15","0","0",
"16","1","1",
"17","1","1",
"18 to 20","4","4",
"21 to 24","3","3",
"25 & over","76","76",
"Total","114","114",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
