"Easy Access to Juvenile Populations"
"Table:    Lincoln County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","212","2","4","2","220",
"1","212","1","2","1","216",
"2","254","2","1","2","259",
"3","246","1","2","2","251",
"4","257","1","1","4","263",
"5","245","0","3","1","249",
"6","262","2","2","2","268",
"7","290","2","1","2","295",
"8","299","1","2","3","305",
"9","291","4","0","1","296",
"10","293","2","1","1","297",
"11","281","2","4","2","289",
"12","272","3","4","1","280",
"13","267","1","2","0","270",
"14","255","5","2","0","262",
"15","259","3","2","0","264",
"16","273","4","1","1","279",
"17","262","4","2","0","268",
"18 to 20","539","2","6","4","551",
"21 to 24","645","9","8","2","664",
"25 & over","11961","88","82","72","12203",
"Total","17875","139","132","103","18249",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
