"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2013"

"counts","White","Black","American Indian","Asian","Total",
"0","1064","36","36","9","1145",
"1","1002","35","25","14","1076",
"2","993","43","31","19","1086",
"3","1070","32","23","8","1133",
"4","1022","30","16","16","1084",
"5","1099","36","24","19","1178",
"6","1118","27","19","20","1184",
"7","1078","35","25","5","1143",
"8","1004","24","17","11","1056",
"9","1035","25","28","15","1103",
"10","985","24","22","11","1042",
"11","958","14","21","9","1002",
"12","981","28","23","11","1043",
"13","936","21","18","8","983",
"14","945","31","20","16","1012",
"15","913","33","17","7","970",
"16","904","22","26","9","961",
"17","985","42","20","13","1060",
"18 to 20","2755","128","58","38","2979",
"21 to 24","4637","150","105","52","4944",
"25 & over","51617","1022","714","555","53908",
"Total","77101","1838","1288","865","81092",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
