"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","1102","1102",
"1","1053","1053",
"2","1096","1096",
"3","1055","1055",
"4","987","987",
"5","1026","1026",
"6","1063","1063",
"7","1005","1005",
"8","1069","1069",
"9","1152","1152",
"10","1046","1046",
"11","1033","1033",
"12","1024","1024",
"13","998","998",
"14","936","936",
"15","960","960",
"16","935","935",
"17","946","946",
"18 to 20","2506","2506",
"21 to 24","3773","3773",
"25 & over","52458","52458",
"Total","77223","77223",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
