"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","34","34",
"1","41","41",
"2","37","37",
"3","34","34",
"4","35","35",
"5","43","43",
"6","35","35",
"7","24","24",
"8","30","30",
"9","24","24",
"10","30","30",
"11","24","24",
"12","18","18",
"13","25","25",
"14","19","19",
"15","26","26",
"16","19","19",
"17","19","19",
"18 to 20","96","96",
"21 to 24","97","97",
"25 & over","795","795",
"Total","1505","1505",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
