"Easy Access to Juvenile Populations"
"Table:    Natrona County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","24","24",
"1","13","13",
"2","36","36",
"3","33","33",
"4","20","20",
"5","23","23",
"6","13","13",
"7","19","19",
"8","21","21",
"9","20","20",
"10","21","21",
"11","20","20",
"12","21","21",
"13","20","20",
"14","13","13",
"15","27","27",
"16","18","18",
"17","21","21",
"18 to 20","67","67",
"21 to 24","105","105",
"25 & over","756","756",
"Total","1311","1311",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
