"Easy Access to Juvenile Populations"
"Table:    Niobrara County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2004"

"counts","White","Black","American Indian","Asian","Total",
"0","13","1","0","0","14",
"1","25","1","0","0","26",
"2","15","1","0","0","16",
"3","27","0","0","0","27",
"4","13","0","1","0","14",
"5","18","0","0","0","18",
"6","21","0","0","0","21",
"7","38","0","0","0","38",
"8","22","0","0","0","22",
"9","30","1","0","0","31",
"10","21","0","1","0","22",
"11","30","0","0","0","30",
"12","22","1","0","0","23",
"13","35","0","0","0","35",
"14","30","0","0","0","30",
"15","34","0","0","0","34",
"16","30","0","0","1","31",
"17","44","0","0","0","44",
"18 to 20","68","1","0","0","69",
"21 to 24","85","1","2","0","88",
"25 & over","1671","1","10","4","1686",
"Total","2292","8","14","5","2319",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
