"Easy Access to Juvenile Populations"
"Table:    Niobrara County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","0","0",
"1","1","1",
"2","1","1",
"3","1","1",
"4","0","0",
"5","0","0",
"6","0","0",
"7","0","0",
"8","0","0",
"9","0","0",
"10","0","0",
"11","1","1",
"12","0","0",
"13","0","0",
"14","1","1",
"15","0","0",
"16","1","1",
"17","0","0",
"18 to 20","3","3",
"21 to 24","5","5",
"25 & over","25","25",
"Total","39","39",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
