"Easy Access to Juvenile Populations"
"Table:    Niobrara County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","2","2",
"1","0","0",
"2","2","2",
"3","0","0",
"4","2","2",
"5","2","2",
"6","0","0",
"7","1","1",
"8","0","0",
"9","0","0",
"10","2","2",
"11","0","0",
"12","2","2",
"13","0","0",
"14","0","0",
"15","0","0",
"16","0","0",
"17","0","0",
"18 to 20","1","1",
"21 to 24","1","1",
"25 & over","30","30",
"Total","45","45",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
