"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2000"

"counts","White","Black","American Indian","Asian","Total",
"0","269","1","2","1","273",
"1","263","1","1","3","268",
"2","300","2","7","1","310",
"3","286","1","1","1","289",
"4","279","1","1","4","285",
"5","274","0","1","0","275",
"6","281","1","2","0","284",
"7","308","2","1","2","313",
"8","348","2","1","1","352",
"9","351","2","2","1","356",
"10","347","2","2","2","353",
"11","372","0","2","2","376",
"12","394","0","4","4","402",
"13","412","4","2","1","419",
"14","396","1","1","3","401",
"15","464","2","1","4","471",
"16","407","0","3","5","415",
"17","449","0","2","4","455",
"18 to 20","1339","0","13","9","1361",
"21 to 24","985","2","6","6","999",
"25 & over","16992","16","79","77","17164",
"Total","25516","40","134","131","25821",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
