"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","148","7","3","2","160",
"1","166","10","5","6","187",
"2","149","1","1","4","155",
"3","174","3","3","5","185",
"4","194","3","2","1","200",
"5","144","3","0","3","150",
"6","162","1","1","2","166",
"7","172","3","1","1","177",
"8","172","3","1","0","176",
"9","171","2","2","1","176",
"10","190","1","5","1","197",
"11","184","0","1","2","187",
"12","165","2","2","0","169",
"13","176","1","2","2","181",
"14","181","0","3","1","185",
"15","160","2","2","1","165",
"16","176","5","4","2","187",
"17","161","2","1","0","164",
"18 to 20","514","13","11","11","549",
"21 to 24","633","5","9","9","656",
"25 & over","9994","106","82","64","10246",
"Total","14186","173","141","118","14618",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
