"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","138","7","3","2","150",
"1","148","3","1","2","154",
"2","167","5","5","2","179",
"3","130","4","2","2","138",
"4","146","4","3","2","155",
"5","155","5","2","4","166",
"6","142","1","3","3","149",
"7","178","1","1","1","181",
"8","158","0","1","2","161",
"9","171","1","1","2","175",
"10","155","2","3","2","162",
"11","166","2","1","1","170",
"12","154","1","4","1","160",
"13","160","2","2","2","166",
"14","143","0","4","0","147",
"15","163","1","3","0","167",
"16","138","0","3","1","142",
"17","160","1","2","3","166",
"18 to 20","519","16","17","17","569",
"21 to 24","590","65","9","10","674",
"25 & over","10369","53","88","94","10604",
"Total","14250","174","158","153","14735",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
