"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","286","286",
"1","314","314",
"2","316","316",
"3","304","304",
"4","340","340",
"5","299","299",
"6","304","304",
"7","350","350",
"8","330","330",
"9","342","342",
"10","345","345",
"11","350","350",
"12","319","319",
"13","336","336",
"14","324","324",
"15","323","323",
"16","314","314",
"17","321","321",
"18 to 20","1033","1033",
"21 to 24","1223","1223",
"25 & over","20363","20363",
"Total","28436","28436",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
