"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","6","6",
"1","6","6",
"2","6","6",
"3","5","5",
"4","5","5",
"5","2","2",
"6","4","4",
"7","2","2",
"8","2","2",
"9","3","3",
"10","8","8",
"11","2","2",
"12","6","6",
"13","4","4",
"14","7","7",
"15","5","5",
"16","7","7",
"17","3","3",
"18 to 20","28","28",
"21 to 24","18","18",
"25 & over","170","170",
"Total","299","299",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
