"Easy Access to Juvenile Populations"
"Table:    Park County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","18","0","0","0","18",
"1","16","2","0","0","18",
"2","22","1","4","0","27",
"3","37","2","2","3","44",
"4","30","1","3","0","34",
"5","31","0","0","2","33",
"6","19","0","2","0","21",
"7","24","0","1","1","26",
"8","33","0","0","0","33",
"9","20","0","1","0","21",
"10","21","0","4","0","25",
"11","26","1","1","0","28",
"12","20","2","0","0","22",
"13","24","1","2","1","28",
"14","21","0","5","0","26",
"15","26","0","2","0","28",
"16","25","0","2","2","29",
"17","19","0","1","0","20",
"18 to 20","72","4","8","2","86",
"21 to 24","135","1","6","3","145",
"25 & over","887","12","46","8","953",
"Total","1526","27","90","22","1665",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
