"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2012"

"counts","White","Black","American Indian","Asian","Total",
"0","132","0","2","0","134",
"1","162","0","1","2","165",
"2","142","5","5","0","152",
"3","151","2","2","0","155",
"4","145","1","1","0","147",
"5","167","1","0","0","168",
"6","160","1","1","2","164",
"7","182","1","0","1","184",
"8","145","1","0","2","148",
"9","166","1","2","2","171",
"10","159","2","0","0","161",
"11","162","2","3","3","170",
"12","168","1","4","2","175",
"13","152","3","1","0","156",
"14","183","2","1","2","188",
"15","176","2","0","2","180",
"16","183","2","2","1","188",
"17","196","4","2","2","204",
"18 to 20","387","19","3","2","411",
"21 to 24","443","15","16","0","474",
"25 & over","7674","73","108","31","7886",
"Total","11435","138","154","54","11781",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
