"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","133","133",
"1","146","146",
"2","149","149",
"3","141","141",
"4","159","159",
"5","166","166",
"6","133","133",
"7","164","164",
"8","168","168",
"9","177","177",
"10","183","183",
"11","209","209",
"12","173","173",
"13","172","172",
"14","165","165",
"15","177","177",
"16","192","192",
"17","175","175",
"18 to 20","409","409",
"21 to 24","446","446",
"25 & over","7796","7796",
"Total","11633","11633",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
