"Easy Access to Juvenile Populations"
"Table:    Big Horn County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","20","1","2","0","23",
"1","20","0","2","0","22",
"2","13","0","2","0","15",
"3","20","1","0","0","21",
"4","14","0","0","0","14",
"5","23","0","0","0","23",
"6","21","2","2","0","25",
"7","16","0","1","1","18",
"8","21","1","0","0","22",
"9","25","1","0","0","26",
"10","26","0","1","0","27",
"11","25","0","0","0","25",
"12","20","1","0","0","21",
"13","18","0","0","0","18",
"14","13","0","0","0","13",
"15","21","0","1","0","22",
"16","19","0","1","0","20",
"17","22","2","0","0","24",
"18 to 20","76","5","1","1","83",
"21 to 24","57","1","4","0","62",
"25 & over","496","11","48","3","558",
"Total","986","26","65","5","1082",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
