"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2008"

"counts","White","Black","American Indian","Asian","Total",
"0","89","2","0","1","92",
"1","100","0","2","0","102",
"2","100","2","2","0","104",
"3","75","1","1","2","79",
"4","63","2","0","1","66",
"5","91","1","0","0","92",
"6","109","2","0","0","111",
"7","93","2","0","0","95",
"8","85","2","0","0","87",
"9","97","0","0","0","97",
"10","104","0","1","2","107",
"11","101","0","0","0","101",
"12","112","1","1","0","114",
"13","130","1","0","1","132",
"14","97","0","1","2","100",
"15","117","2","1","0","120",
"16","150","0","1","1","152",
"17","119","0","3","2","124",
"18 to 20","256","1","2","3","262",
"21 to 24","289","1","2","2","294",
"25 & over","6118","22","30","21","6191",
"Total","8495","42","47","38","8622",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
