"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","39","1","0","1","41",
"1","37","0","0","2","39",
"2","42","3","0","1","46",
"3","29","1","2","0","32",
"4","67","2","0","0","69",
"5","45","0","0","0","45",
"6","47","1","1","0","49",
"7","56","0","0","1","57",
"8","46","0","0","0","46",
"9","43","2","0","1","46",
"10","49","1","0","0","50",
"11","41","1","0","0","42",
"12","48","0","0","0","48",
"13","55","1","0","0","56",
"14","55","0","1","0","56",
"15","48","0","0","0","48",
"16","43","1","2","0","46",
"17","52","0","0","0","52",
"18 to 20","96","4","2","3","105",
"21 to 24","145","1","4","4","154",
"25 & over","3064","21","23","19","3127",
"Total","4147","40","35","32","4254",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
