"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","80","80",
"1","86","86",
"2","81","81",
"3","80","80",
"4","115","115",
"5","86","86",
"6","80","80",
"7","101","101",
"8","90","90",
"9","95","95",
"10","93","93",
"11","98","98",
"12","91","91",
"13","99","99",
"14","106","106",
"15","97","97",
"16","98","98",
"17","104","104",
"18 to 20","229","229",
"21 to 24","325","325",
"25 & over","6215","6215",
"Total","8449","8449",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
