"Easy Access to Juvenile Populations"
"Table:    Platte County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","6","0","0","0","6",
"1","10","0","0","1","11",
"2","9","0","0","0","9",
"3","14","0","1","0","15",
"4","10","0","0","0","10",
"5","12","1","0","0","13",
"6","8","0","0","0","8",
"7","17","0","0","0","17",
"8","6","0","1","0","7",
"9","17","0","0","1","18",
"10","8","0","0","0","8",
"11","9","0","0","0","9",
"12","14","0","0","0","14",
"13","10","0","1","0","11",
"14","13","0","2","0","15",
"15","11","0","0","0","11",
"16","10","0","1","0","11",
"17","9","0","0","0","9",
"18 to 20","44","1","3","1","49",
"21 to 24","41","1","5","0","47",
"25 & over","392","6","17","2","417",
"Total","670","9","31","5","715",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
